wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
281,하는데,Verb,48
282,공원,Noun,48
283,생,Noun,48
284,추가,Noun,47
285,우리,Noun,47
286,문제,Noun,47
287,될,Verb,47
288,선택,Noun,47
289,하기,Verb,47
290,긴,Verb,47
291,있었어요,Adjective,47
292,물건,Noun,47
293,야경,Noun,46
294,왜,Noun,46
295,입구,Noun,46
296,매장,Noun,46
297,기사,Noun,46
298,만원,Noun,46
299,오전,Noun,46
300,손,Noun,46
301,명,Noun,45
302,구글,Noun,45
303,이런,Adjective,45
304,관광지,Noun,45
305,필수,Noun,45
306,유명한,Adjective,45
307,입고,Verb,45
308,약간,Noun,45
309,였어요,Verb,44
310,주변,Noun,44
311,보면,Verb,44
312,그런지,Adjective,44
313,코트,Noun,44
314,눈,Noun,44
315,본,Verb,44
316,모든,Noun,44
317,디저트,Noun,44
318,드,Noun,44
319,팔,Noun,43
320,입국,Noun,43
321,바,Noun,43
322,없고,Adjective,43
323,작은,Adjective,43
324,취소,Noun,43
325,쓰고,Verb,43
326,운행,Noun,43
327,설명,Noun,43
328,되는,Verb,43
329,특히,Adverb,43
330,다만,Noun,43
331,이상,Noun,43
332,참,Verb,42
333,먹을,Verb,42
334,기,Noun,42
335,그림,Noun,42
336,않고,Verb,42
337,갔습니다,Verb,42
338,등등,Noun,42
339,화장실,Noun,42
340,아이,Noun,42
341,일차,Noun,42
342,현금,Noun,42
343,찍고,Verb,42
344,인종차별,Noun,42
345,샹젤리제,Noun,42
346,어플,Noun,42
347,하더라구요,Verb,41
348,대부분,Noun,41
349,년,Noun,41
350,다리,Noun,41
351,하니,Noun,41
352,거기,Noun,41
353,되어,Verb,41
354,따로,Adverb,41
355,맛있었어요,Adjective,41
356,시작,Noun,41
357,쯤,Noun,41
358,아직,Adverb,40
359,해야,Verb,40
360,오페라,Noun,40
361,마스크,Noun,40
362,구입,Noun,40
363,팁,Noun,40
364,어디,Noun,40
365,얘기,Noun,40
366,무슈,Noun,40
367,둘,Noun,39
368,두,Noun,39
369,나중,Noun,39
370,매우,Noun,39
371,이제,Noun,39
372,좋아요,Adjective,39
373,가지,Noun,39
374,여자,Noun,39
375,테이블,Noun,39
376,역시,Noun,39
377,로,Noun,38
378,기준,Noun,38
379,점심,Noun,38
380,주의,Noun,38
381,치안,Noun,38
382,있으니,Adjective,38
383,코로나,Noun,38
384,할인,Noun,38
385,있었는데,Adjective,38
386,달라,Noun,38
387,주문,Noun,38
388,있었습니다,Adjective,37
389,습,Noun,37
390,현재,Noun,37
391,바람,Noun,37
392,한식,Noun,37
393,디즈니랜드,Noun,37
394,이미,Adverb,37
395,인,Noun,37
396,외국인,Noun,37
397,하게,Verb,37
398,데,Noun,36
399,갑자기,Noun,36
400,가게,Noun,36
401,마음,Noun,36
402,레스토랑,Noun,36
403,친구,Noun,36
404,먹었는데,Verb,36
405,가기,Noun,36
406,막,Noun,36
407,코스,Noun,36
408,줄이,Verb,36
409,를,Noun,35
410,가,Verb,35
411,먼저,Noun,35
412,내부,Noun,35
413,없었어요,Adjective,35
414,봅니다,Verb,35
415,간,Noun,35
416,티,Noun,35
417,무조건,Noun,35
418,훨씬,Adverb,35
419,지갑,Noun,35
420,마세요,Verb,35
421,타는,Verb,35
422,있으면,Adjective,35
423,궁전,Noun,34
424,요리,Noun,34
425,이었어요,Verb,34
426,온,Noun,34
427,아래,Noun,34
428,보이는,Verb,34
429,우리나라,Noun,34
430,몽생미셸,Noun,34
431,살,Noun,34
432,끝,Noun,34
433,부분,Noun,34
434,계획,Noun,34
435,만,Noun,34
436,마트,Noun,34
437,같은데,Adjective,34
438,새벽,Noun,34
439,최고,Noun,34
440,몽마,Noun,33
441,원래,Noun,33
442,기도,Noun,33
443,하네요,Verb,33
444,런던,Noun,33
445,어떤,Adjective,33
446,가능,Noun,33
447,이었습니다,Verb,33
448,경험,Noun,33
449,오래,Adverb,33
450,갔어요,Verb,33
451,이후,Noun,33
452,해요,Verb,33
453,포함,Noun,33
454,출국,Noun,33
455,파업,Noun,33
456,계단,Noun,33
457,했지만,Verb,33
458,앉아서,Verb,33
459,결국,Adverb,33
460,절대,Noun,33
461,밖,Noun,33
462,댓글,Noun,32
463,사서,Noun,32
464,정리,Noun,32
465,보통,Noun,32
466,피자,Noun,32
467,나와서,Verb,32
468,마레,Noun,32
469,가세,Noun,32
470,내내,Noun,32
471,수도,Noun,32
472,빨리,Adverb,32
473,스테이크,Noun,32
474,는,Verb,32
475,같아서,Adjective,32
476,주말,Noun,32
477,와,Verb,31
478,선,Noun,31
479,항상,Noun,31
480,없었습니다,Adjective,31
481,다녔어요,Verb,31
482,먹어,Verb,31
483,너,Noun,31
484,않은,Verb,31
485,체크,Noun,31
