b_wordcnt.no,b_wordcnt.content,b_wordcnt.mor,b_wordcnt.cnt
279,경유,Noun,6
280,공휴일,Noun,6
281,구경,Noun,6
282,자전거,Noun,6
283,전,Noun,6
284,제일,Noun,6
285,집,Noun,6
286,최근,Noun,6
287,카사바,Noun,6
288,백신,Noun,6
289,번,Noun,6
290,부탁,Noun,6
291,선택,Noun,6
292,신속,Noun,6
293,달,Noun,6
294,당일,Noun,6
295,람블,Noun,6
296,루프,Noun,6
297,타,Modifier,6
298,탑,Noun,6
299,티브이,Noun,6
300,필수,Noun,6
301,항원,Noun,6
302,야간,Noun,6
303,엘프,Noun,6
304,오픈,Noun,6
305,월요일,Noun,6
306,이탈리아,Noun,5
307,여,Noun,5
308,시장,Noun,5
309,코스,Noun,5
310,생각,Noun,5
311,입장료,Noun,5
312,박물관,Noun,5
313,사람,Noun,5
314,건가,Noun,5
315,하나,Noun,5
316,법,Noun,5
317,항공,Noun,5
318,성,Modifier,5
319,사진,Noun,5
320,출발,Noun,5
321,원래,Noun,5
322,동방박사,Noun,5
323,며칠,Noun,5
324,타고,Noun,5
325,왜,Noun,5
326,표,Noun,5
327,마스크,Noun,5
328,비엘,Noun,5
329,링,Noun,5
330,다른,Noun,5
331,바로,Noun,5
332,리아,Noun,5
333,정말,Noun,5
334,아이,Noun,5
335,아웃,Noun,5
336,간다,Noun,5
337,걱정,Noun,5
338,유로,Noun,5
339,한국,Noun,5
340,첫,Noun,5
341,맛,Noun,5
342,유럽,Noun,5
343,명소,Noun,5
344,오류,Noun,4
345,토스,Noun,4
346,토사,Noun,4
347,확인,Noun,4
348,방문,Noun,4
349,운영,Noun,4
350,테스트,Noun,4
351,테네리페,Noun,4
352,제외,Noun,4
353,보고,Noun,4
354,물가,Noun,4
355,쪽,Noun,4
356,겨울,Noun,4
357,뭔가,Noun,4
358,보나,Noun,4
359,여러분,Noun,4
360,세,Noun,4
361,요금,Noun,4
362,캐,Noun,4
363,카페,Noun,4
364,가기,Noun,4
365,구장,Noun,4
366,세비,Noun,4
367,할인,Noun,4
368,마르,Noun,4
369,리다,Noun,4
370,여권,Noun,4
371,경기장,Noun,4
372,살기,Noun,4
373,주얼,Noun,4
374,산,Noun,4
375,이번,Noun,4
376,자제,Noun,4
377,면세점,Noun,4
378,이면,Noun,4
379,준비,Noun,4
380,운행,Noun,4
381,답변,Noun,4
382,경험,Noun,4
383,날짜,Noun,4
384,카운트다운,Noun,4
385,실내,Noun,4
386,회,Noun,4
387,신청,Noun,4
388,바셀,Noun,4
389,트래블,Noun,4
390,지나,Noun,4
391,스타벅스,Noun,4
392,트,Noun,4
393,수단,Noun,4
394,영국,Noun,3
395,성가족성당,Noun,3
396,연말,Noun,3
397,유심,Noun,3
398,상,Noun,3
399,베이직,Noun,3
400,벨기에,Noun,3
401,변경,Noun,3
402,사전,Noun,3
403,사바,Noun,3
404,병원,Noun,3
405,보기,Noun,3
406,빠에야,Noun,3
407,보케,Noun,3
408,보조,Noun,3
409,가격,Noun,3
410,에어로,Noun,3
411,얼마나,Noun,3
412,인터라켄,Noun,3
413,어린이,Noun,3
414,제,Noun,3
415,가신,Noun,3
416,환불,Noun,3
417,가능,Noun,3
418,홈,Noun,3
419,격리,Noun,3
420,현금,Noun,3
421,자라,Noun,3
422,헬스장,Noun,3
423,해수욕,Noun,3
424,종일,Noun,3
425,항,Noun,3
426,결제,Noun,3
427,인근,Noun,3
428,인권,Noun,3
429,주변,Noun,3
430,필요,Noun,3
431,프랑크푸르트,Noun,3
432,주현절,Noun,3
433,폭죽,Noun,3
434,인,Noun,3
435,포르토,Noun,3
436,고수,Noun,3
437,증명서,Noun,3
438,패딩,Noun,3
439,지엄,Noun,3
440,일몰,Noun,3
441,공사,Noun,3
442,공유,Noun,3
443,가장,Noun,3
444,테,Noun,3
445,공홈,Noun,3
446,태풍,Noun,3
447,관,Noun,3
448,타라고나,Noun,3
449,콜론,Noun,3
450,코,Noun,3
451,칼,Noun,3
452,자리,Noun,3
453,마켓,Noun,3
454,일,Modifier,3
455,외,Noun,3
456,이비자,Noun,3
457,레스토랑,Noun,3
458,라스,Noun,3
459,라발,Noun,3
460,왕복,Noun,3
461,또,Noun,3
462,때문,Noun,3
463,자유,Noun,3
464,와이파이,Noun,3
465,두,Noun,3
466,출국,Noun,3
467,동행,Noun,3
468,돈,Noun,3
469,대해,Noun,3
470,급,Noun,3
471,대한,Noun,3
472,전날,Noun,3
473,기차,Noun,3
474,내년,Noun,3
475,낮,Noun,3
476,까탈,Noun,3
477,신혼여행,Noun,3
478,신분,Noun,3
479,시티,Noun,3
480,꿀,Noun,3
481,시간대,Noun,3
482,나,Noun,3
483,메르,Noun,3
484,수도원,Noun,3
485,가지,Noun,3
486,월렛,Noun,3
487,소리,Noun,3
488,셔틀,Noun,3
489,센터,Noun,3
490,뮤,Noun,3
491,배터리,Noun,3
492,그냥,Noun,2
493,자정,Noun,2
494,잔,Noun,2
495,일기예보,Noun,2
496,장애,Noun,2
497,저,Noun,2
498,위험,Noun,2
499,전망대,Noun,2
500,제네바,Noun,2
501,조명,Noun,2
502,주일,Noun,2
503,줄,Noun,2
504,이제,Noun,2
505,이유,Noun,2
506,진짜,Noun,2
507,유랑,Noun,2
508,챔스,Noun,2
509,첫째,Noun,2
510,체크아웃,Noun,2
511,체험,Noun,2
512,초등,Noun,2
513,추가,Noun,2
514,이벤트,Noun,2
515,충전기,Noun,2
516,칩,Noun,2
517,미사,Noun,2
518,미리,Noun,2
519,반입,Noun,2
520,미로,Noun,2
521,백,Modifier,2
522,뮌헨,Noun,2
523,보드,Noun,2
524,보통,Noun,2
525,부근,Noun,2
526,부모님,Noun,2
527,부활절,Noun,2
528,무엇,Noun,2
529,비교,Noun,2
530,비둘기,Noun,2
531,빈,Noun,2
532,모시,Noun,2
533,사라고사,Noun,2
534,모세,Noun,2
535,사항,Noun,2
536,삼각대,Noun,2
537,선배,Noun,2
538,섬,Noun,2
539,성,Noun,2
540,세,Modifier,2
541,셀,Noun,2
542,셨던,Noun,2
543,소,Noun,2
544,소요,Noun,2
545,속,Noun,2
546,메트로,Noun,2
547,메일,Noun,2
548,수정,Noun,2
549,스토어,Noun,2
550,스파,Noun,2
551,나라,Noun,2
552,끌,Noun,2
553,시반,Noun,2
554,시에스타,Noun,2
555,시티투어,Noun,2
556,식사,Noun,2
557,신년,Noun,2
558,신발,Noun,2
559,신행,Noun,2
560,씨티카드,Noun,2
561,남,Noun,2
562,내,Noun,2
563,너리,Noun,2
564,놀이동산,Noun,2
565,누에,Noun,2
566,기사,Noun,2
567,기념품,Noun,2
568,담,Noun,2
569,기,Noun,2
570,대여,Noun,2
571,던데,Noun,2
572,독일,Noun,2
