b_wordcnt.no,b_wordcnt.content,b_wordcnt.mor,b_wordcnt.cnt
1191,에스파뇰,Noun,1
1192,에스프레소,Noun,1
1193,접착제,Noun,1
1194,에어비앤비,Noun,1
1195,문화,Noun,1
1196,에어팟,Noun,1
1197,보호대,Noun,1
1198,복귀,Noun,1
1199,복장,Noun,1
1200,문,Modifier,1
1201,무조건,Noun,1
1202,부,Noun,1
1203,에이,Noun,1
1204,부다페스트,Noun,1
1205,자물쇠,Noun,1
1206,부스터,Noun,1
1207,부킹,Noun,1
1208,유무,Noun,1
1209,부터,Noun,1
1210,점심,Noun,1
1211,여,Modifier,1
1212,분도,Noun,1
1213,무리,Noun,1
1214,무,Noun,1
1215,불꽃,Noun,1
1216,불꽃놀이,Noun,1
1217,불토,Noun,1
1218,뷔페,Noun,1
1219,브라,Noun,1
1220,브라스,Noun,1
1221,브랜드,Noun,1
1222,브레가,Noun,1
1223,블,Noun,1
1224,몽클레어,Noun,1
1225,전후,Noun,1
1226,비누,Noun,1
1227,비니,Noun,1
1228,전체,Noun,1
1229,비바,Noun,1
1230,비어,Noun,1
1231,비엔나,Noun,1
1232,보시,Noun,1
1233,목요일,Noun,1
1234,목,Noun,1
1235,일일,Noun,1
1236,빈티,Noun,1
1237,빔,Noun,1
1238,빛,Noun,1
1239,보른,Noun,1
1240,빡쌜까,Noun,1
1241,빨래,Noun,1
1242,여기저기,Noun,1
1243,사고,Noun,1
1244,사기,Noun,1
1245,전쟁,Noun,1
1246,물값,Noun,1
1247,사려,Noun,1
1248,사르,Noun,1
1249,병경,Noun,1
1250,개국,Noun,1
1251,사본,Noun,1
1252,사봉,Noun,1
1253,사서,Noun,1
1254,모로코,Noun,1
1255,사이트,Noun,1
1256,별로,Noun,1
1257,별,Modifier,1
1258,개,Noun,1
1259,변동,Noun,1
1260,산다,Noun,1
1261,산미구엘,Noun,1
1262,모레,Noun,1
1263,산책,Noun,1
1264,산체스,Noun,1
1265,모두,Noun,1
1266,변,Noun,1
1267,강탈,Noun,1
1268,물씬,Noun,1
1269,범위,Noun,1
1270,상점가,Noun,1
1271,상주,Noun,1
1272,상품,Noun,1
1273,상향,Noun,1
1274,명당,Noun,1
1275,새,Noun,1
1276,새끼,Noun,1
1277,명과,Noun,1
1278,번스,Noun,1
1279,번만,Noun,1
1280,서로,Noun,1
1281,면세,Noun,1
1282,서점,Noun,1
1283,서핑,Noun,1
1284,선,Noun,1
1285,선물,Noun,1
1286,여정,Noun,1
1287,선별,Noun,1
1288,선셋,Noun,1
1289,선정,Noun,1
1290,번개,Noun,1
1291,설치,Noun,1
1292,강도,Noun,1
1293,유모차,Noun,1
1294,여행객,Noun,1
1295,성가대,Noun,1
1296,버버리,Noun,1
1297,면,Noun,1
1298,성모,Noun,1
1299,성비,Noun,1
1300,성탄,Noun,1
1301,일본,Noun,1
1302,유료,Noun,1
1303,세금,Noun,1
1304,백,Noun,1
1305,배분,Noun,1
1306,세탁,Noun,1
1307,방,Noun,1
1308,감,Noun,1
1309,뮤지컬,Noun,1
1310,셔틀버스,Noun,1
1311,갈수,Noun,1
1312,엮,Noun,1
1313,소가,Noun,1
1314,소년,Noun,1
1315,소도시,Noun,1
1316,발목,Noun,1
1317,멤버십,Noun,1
1318,연,Noun,1
1319,전야,Noun,1
1320,송해면,Noun,1
1321,멜론,Noun,1
1322,쇼코,Noun,1
