wordcnt.no,wordcnt.content,wordcnt.mor,wordcnt.cnt
269,계신,Adjective,13
270,뭘,Noun,13
271,성,Noun,13
272,알려주세요,Verb,13
273,데이,Noun,13
274,수단,Noun,13
275,법,Noun,13
276,얼마나,Noun,13
277,도움,Noun,13
278,스트라스부르,Noun,13
279,주말,Noun,13
280,트랙,Noun,13
281,어떤,Adjective,12
282,랜드,Noun,12
283,예정,Noun,12
284,필수,Noun,12
285,발레,Noun,12
286,위험할까,Adjective,12
287,가능한,Adjective,12
288,티,Noun,12
289,가려고,Verb,12
290,없이,Adverb,12
291,헝가리,Noun,12
292,소요,Noun,12
293,극장,Noun,12
294,쪽,Noun,12
295,있어요,Adjective,12
296,최근,Noun,12
297,비행기,Noun,12
298,제일,Noun,12
299,잘츠부르크,Noun,12
300,온천,Noun,12
301,문,Noun,12
302,프레,Noun,12
303,별로,Noun,12
304,갈만,Verb,12
305,카페,Noun,12
306,몬세라트,Noun,11
307,에든버러,Noun,11
308,하나,Noun,11
309,피사,Noun,11
310,폴란드,Noun,11
311,어디가,Noun,11
312,암스테르담,Noun,11
313,구경,Noun,11
314,궁금한,Adjective,11
315,궁금해요,Adjective,11
316,트램,Noun,11
317,기간,Noun,11
318,중앙,Noun,11
319,런던아이,Noun,11
320,몽생미셸,Noun,11
321,디즈니,Noun,11
322,네덜란드,Noun,11
323,거리,Noun,11
324,월말,Noun,11
325,신트라,Noun,11
326,윈터,Noun,11
327,스키,Noun,11
328,이스탄불,Noun,11
329,익스,Noun,11
330,인권,Noun,11
331,세,Noun,11
332,섬,Noun,11
333,자유여행,Noun,11
334,히드로,Noun,11
335,전,Noun,11
336,원더,Noun,10
337,핀란드,Noun,10
338,바,Noun,10
339,언덕,Noun,10
340,가볼,Verb,10
341,좋나요,Adjective,10
342,대해,Noun,10
343,공원,Noun,10
344,트윅,Noun,10
345,같은,Adjective,10
346,이후,Noun,10
347,첫,Noun,10
348,편,Noun,10
349,타고,Noun,10
350,위치,Noun,10
351,계획,Noun,10
352,체어,Noun,10
353,어플,Noun,10
354,계실까,Adjective,10
355,봐주세요,Verb,9
356,축제,Noun,9
357,트르,Noun,9
358,우,Adverb,9
359,스카이,Noun,9
360,시즌,Noun,9
361,바로,Noun,9
362,할슈타트,Noun,9
363,파크,Noun,9
364,메스,Noun,9
365,에펠,Noun,9
366,못,Noun,9
367,아이슬란드,Noun,9
368,발트,Noun,9
369,프라,Noun,9
370,개선문,Noun,9
371,취리히,Noun,9
372,경유,Noun,9
373,생트,Noun,9
374,번,Noun,9
375,위험한가요,Adjective,9
376,볼트,Noun,9
377,공유,Noun,9
378,좌석,Noun,9
