l_wordcnt.no,l_wordcnt.content,l_wordcnt.mor,l_wordcnt.cnt
277,내,Noun,10
278,오페라,Noun,10
279,경기,Noun,10
280,도움,Noun,10
281,철도,Noun,10
282,캐리어,Noun,9
283,등,Noun,9
284,정보,Noun,9
285,겨울,Noun,9
286,토요일,Noun,9
287,좌석,Noun,9
288,랜드,Noun,9
289,탑승,Noun,9
290,보고,Noun,9
291,유니폼,Noun,9
292,당일치기,Noun,9
293,윈터,Noun,9
294,구,Noun,9
295,현장,Noun,9
296,계획,Noun,9
297,구입,Noun,9
298,확인,Noun,9
299,자연사,Noun,9
300,엘리자베스,Noun,9
301,비바,Noun,9
302,관람,Noun,8
303,경기장,Noun,8
304,블로그,Noun,8
305,얼마,Noun,8
306,극장,Noun,8
307,갤러리,Noun,8
308,필수,Noun,8
309,첫날,Noun,8
310,맛,Noun,8
311,기념품,Noun,8
312,원더,Noun,8
313,가이드,Noun,8
314,카운트다운,Noun,8
315,번,Noun,8
316,일리,Noun,8
317,수역,Noun,7
318,피카딜리,Noun,7
319,내셔널갤러리,Noun,7
320,프랑스,Noun,7
321,프라,Noun,7
322,레일,Noun,7
323,타,Modifier,7
324,로마,Noun,7
325,페이,Noun,7
326,브릭레인,Noun,7
327,버,Noun,7
328,명,Noun,7
329,자리,Noun,7
330,자전거,Noun,7
331,코,Noun,7
332,달,Noun,7
333,장소,Noun,7
334,가장,Noun,7
335,출발,Noun,7
336,처,Noun,7
337,이후,Noun,7
338,최근,Noun,7
339,유로스타,Noun,7
340,애플,Noun,7
341,대해,Noun,7
342,해,Noun,7
343,공유,Noun,6
344,그냥,Noun,6
345,어린이,Noun,6
346,두,Noun,6
347,리츠,Noun,6
348,로우,Noun,6
349,시티,Noun,6
350,레미제라블,Noun,6
351,필요,Noun,6
352,스콘,Noun,6
353,국제,Noun,6
354,학생증,Noun,6
355,할인,Noun,6
356,소,Noun,6
357,구장,Noun,6
358,바르셀로나,Noun,6
359,성당,Noun,6
360,트,Noun,6
361,여왕,Noun,6
362,여자,Noun,6
363,탑,Noun,6
364,고수,Noun,6
365,크루즈,Noun,6
366,오류,Noun,6
367,축제,Noun,6
368,첼시,Noun,6
369,위키드,Noun,6
370,첫,Noun,6
371,윈저,Noun,6
372,집,Noun,6
373,볼트,Noun,6
374,음식점,Noun,6
375,부탁,Noun,6
376,인,Noun,6
377,빅,Noun,6
378,사원,Noun,6
379,브리지,Noun,6
380,입장권,Noun,6
381,블랙,Noun,6
382,다른,Noun,6
383,세트,Noun,5
384,가족,Noun,5
385,공홈,Noun,5
386,관광,Noun,5
387,관할,Noun,5
388,마지막,Noun,5
389,마트,Noun,5
390,무료,Noun,5
391,무슨,Noun,5
392,발급,Noun,5
393,보,Noun,5
394,보기,Noun,5
395,보통,Noun,5
396,불꽃,Noun,5
397,비용,Noun,5
398,비행기,Noun,5
399,상황,Noun,5
400,조명,Noun,5
401,종이,Noun,5
402,취소,Noun,5
403,층,Noun,5
404,손흥민,Noun,5
405,스위스,Noun,5
406,스페인,Noun,5
407,시반,Noun,5
408,알,Noun,5
409,어디가,Noun,5
410,날짜,Noun,5
411,내부,Noun,5
412,년,Noun,5
413,티켓팅,Noun,5
414,판크라스,Noun,5
415,프라하,Noun,5
416,환승,Noun,5
417,여행지,Noun,5
418,오픈,Noun,5
419,원,Noun,5
420,웨스트민스터,Noun,5
421,유럽,Noun,5
422,이드,Noun,5
423,이스,Noun,5
424,이탈리아,Noun,5
425,인근,Noun,5
426,다음,Noun,4
427,소호,Noun,4
428,불,Noun,4
429,스타디움,Noun,4
430,평일,Noun,4
431,줄,Noun,4
432,스타,Noun,4
433,광장,Noun,4
434,변경,Noun,4
435,오,Noun,4
436,환불,Noun,4
437,스코틀랜드,Noun,4
438,자동,Noun,4
439,연말,Noun,4
440,공사,Noun,4
441,준비,Noun,4
442,맨체스터,Noun,4
443,숍,Noun,4
444,차,Noun,4
445,여부,Noun,4
446,여기,Noun,4
447,나이,Noun,4
